Município;AIS;Natureza;Data;Hora;Dia da Semana;Tipo de Arma;Gênero;Idade da Vítima;Escolaridade da Vítima;Raça da Vítima
Madalena;AIS 15;HOMICIDIO DOLOSO;04/jul/21;16:00;Domingo;Outros meios;Feminino;25;Ensino Médio Completo;Parda
Maranguape;AIS 24;HOMICIDIO DOLOSO;04/jul/21;17:45;Domingo;Arma de fogo;Masculino;18;Ensino Médio Incompleto;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;04/jul/21;02:09;Domingo;Arma de fogo;Masculino;24;Alfabetizado;Branca
Sobral;AIS 14;HOMICIDIO DOLOSO;04/jul/21;04:30;Domingo;Arma de fogo;Masculino;32;Ensino Médio Completo;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;05/jul/21;00:08;Segunda;Arma de fogo;Masculino;25;Ensino Fundamental Incompleto;Branca
Parambu;AIS 22;HOMICIDIO DOLOSO;05/jul/21;00:30;Segunda;Arma de fogo;Masculino;24;Ensino Fundamental Completo;Branca
Jaguaruana;AIS 18;HOMICIDIO DOLOSO;05/jul/21;18:30;Segunda;Arma de fogo;Masculino;49;Ensino Médio Completo;Não Informada
Paraipaba;AIS 23;HOMICIDIO DOLOSO;05/jul/21;21:45;Segunda;Arma de fogo;Masculino;18;Alfabetizado;Parda
Maranguape;AIS 24;HOMICIDIO DOLOSO;05/jul/21;06:20;Segunda;Outros meios;Masculino;18;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 01;HOMICIDIO DOLOSO;06/jul/21;22:39;Terça;Arma de fogo;Masculino;18;Alfabetizado;Não Informada
Fortaleza;AIS 04;HOMICIDIO DOLOSO;06/jul/21;03:00;Terça;Outros meios;Feminino;17;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 05;HOMICIDIO DOLOSO;06/jul/21;21:52;Terça;Arma de fogo;Masculino;17;Alfabetizado;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;06/jul/21;06:20;Terça;Arma de fogo;Masculino;23;Alfabetizado;Parda
Caucaia;AIS 11;HOMICIDIO DOLOSO;06/jul/21;12:00;Terça;Arma de fogo;Masculino;16;Ensino Fundamental Incompleto;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;06/jul/21;17:00;Terça;Arma de fogo;Masculino;22;Alfabetizado;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;06/jul/21;18:00;Terça;Arma de fogo;Feminino;24;Não Informada;Não Informada
Redenção;AIS 15;HOMICIDIO DOLOSO;06/jul/21;16:00;Terça;Arma de fogo;Masculino;39;Alfabetizado;Não Informada
Pentecoste;AIS 17;HOMICIDIO DOLOSO;06/jul/21;04:30;Terça;Arma de fogo;Masculino;31;Alfabetizado;Parda
Iguatu;AIS 21;HOMICIDIO DOLOSO;06/jul/21;15:30;Terça;Arma de fogo;Masculino;23;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;06/jul/21;18:52;Terça;Arma de fogo;Masculino;24;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;07/jul/21;07:35;Quarta;Arma de fogo;Masculino;24;Ensino Fundamental Completo;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;07/jul/21;07:50;Quarta;Arma de fogo;Masculino;19;Alfabetizado;Não Informada
Forquilha;AIS 14;HOMICIDIO DOLOSO;07/jul/21;09:00;Quarta;Arma de fogo;Masculino;32;Alfabetizado;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;07/jul/21;15:35;Quarta;Arma de fogo;Masculino;30;Não Alfabetizado;Parda
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;07/jul/21;19:30;Quarta;Arma de fogo;Masculino;23;Alfabetizado;Não Informada
Fortaleza;AIS 10;HOMICIDIO DOLOSO;07/jul/21;21:30;Quarta;Outros meios;Masculino;25;Ensino Médio Incompleto;Parda
Caridade;AIS 15;HOMICIDIO DOLOSO;07/jul/21;20:00;Quarta;Arma de fogo;Masculino;18;Ensino Médio Incompleto;Não Informada
Crato;AIS 19;HOMICIDIO DOLOSO;08/jul/21;04:40;Quinta;Arma branca;Masculino;28;Ensino Médio Completo;Não Informada
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;08/jul/21;07:00;Quinta;Arma de fogo;Masculino;54;Ensino Médio Completo;Não Informada
Ipu;AIS 16;HOMICIDIO DOLOSO;08/jul/21;10:00;Quinta;Outros meios;Feminino;33;Ensino Médio Incompleto;Parda
Fortaleza;AIS 04;HOMICIDIO DOLOSO;08/jul/21;10:12;Quinta;Arma de fogo;Masculino;31;Ensino Médio Incompleto;Não Informada
Aracati;AIS 18;HOMICIDIO DOLOSO;08/jul/21;14:00;Quinta;Arma de fogo;Masculino;23;Alfabetizado;Não Informada
Ibiapina;AIS 14;HOMICIDIO DOLOSO;08/jul/21;21:00;Quinta;Arma de fogo;Masculino;17;Alfabetizado;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;08/jul/21;21:30;Quinta;Arma de fogo;Masculino;31;Não Alfabetizado;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;09/jul/21;00:03;Sexta;Arma de fogo;Masculino;19;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;09/jul/21;03:00;Sexta;Arma de fogo;Feminino;37;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;09/jul/21;17:54;Sexta;Arma de fogo;Masculino;27;Alfabetizado;Parda
Fortaleza;AIS 07;HOMICIDIO DOLOSO;09/jul/21;14:00;Sexta;Outros meios;Masculino;17;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 10;HOMICIDIO DOLOSO;09/jul/21;20:00;Sexta;Arma de fogo;Masculino;34;Ensino Fundamental Incompleto;Parda
Caucaia;AIS 11;HOMICIDIO DOLOSO;09/jul/21;21:30;Sexta;Arma de fogo;Masculino;30;Alfabetizado;Parda
Sobral;AIS 14;ROUBO SEGUIDO DE MORTE (LATROCINIO);09/jul/21;10:20;Sexta;Arma de fogo;Masculino;33;Ensino Médio Completo;Parda
Itatira;AIS 15;HOMICIDIO DOLOSO;09/jul/21;16:30;Sexta;Arma de fogo;Masculino;18;Alfabetizado;Parda
Russas;AIS 18;HOMICIDIO DOLOSO;09/jul/21;20:20;Sexta;Arma de fogo;Feminino;15;Ensino Fundamental Incompleto;Branca
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;09/jul/21;19:00;Sexta;Arma de fogo;Masculino;57;Alfabetizado;Não Informada
Quixelô;AIS 21;HOMICIDIO DOLOSO;09/jul/21;11:00;Sexta;Arma de fogo;Masculino;55;Alfabetizado;Não Informada
Morada Nova;AIS 20;HOMICIDIO DOLOSO;09/jul/21;09:00;Sexta;Arma branca;Masculino;Não Informada;Não Informada;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;09/jul/21;14:15;Sexta;Outros meios;Masculino;75;Ensino Médio Completo;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;09/jul/21;20:43;Sexta;Arma de fogo;Masculino;25;Ensino Fundamental Completo;Não Informada
Guaiúba;AIS 24;HOMICIDIO DOLOSO;09/jul/21;15:35;Sexta;Outros meios;Feminino;Não Informada;Não Informada;Não Informada
Pacajus;AIS 25;HOMICIDIO DOLOSO;09/jul/21;10:15;Sexta;Outros meios;Feminino;18;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;10/jul/21;19:57;Sábado;Arma de fogo;Masculino;37;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;10/jul/21;17:30;Sábado;Arma de fogo;Masculino;34;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;10/jul/21;16:00;Sábado;Arma de fogo;Masculino;18;Não Informada;Não Informada
Horizonte;AIS 25;HOMICIDIO DOLOSO;10/jul/21;03:30;Sábado;Arma branca;Masculino;32;Alfabetizado;Não Informada
Cariré;AIS 14;HOMICIDIO DOLOSO;10/jul/21;01:35;Sábado;Arma de fogo;Masculino;22;Alfabetizado;Não Informada
Morada Nova;AIS 20;HOMICIDIO DOLOSO;10/jul/21;02:00;Sábado;Outros meios;Feminino;40;Ensino Médio Completo;Não Informada
Ibiapina;AIS 14;HOMICIDIO DOLOSO;10/jul/21;22:00;Sábado;Arma de fogo;Masculino;19;Alfabetizado;Parda
Limoeiro do Norte;AIS 18;HOMICIDIO DOLOSO;10/jul/21;19:30;Sábado;Arma de fogo;Masculino;16;Ensino Fundamental Incompleto;Não Informada
Tianguá;AIS 14;HOMICIDIO DOLOSO;10/jul/21;18:00;Sábado;Arma de fogo;Masculino;31;Alfabetizado;Parda
Caucaia;AIS 11;HOMICIDIO DOLOSO;11/jul/21;02:00;Domingo;Arma de fogo;Masculino;16;Alfabetizado;Não Informada
Eusébio;AIS 13;HOMICIDIO DOLOSO;11/jul/21;17:12;Domingo;Arma de fogo;Masculino;32;Ensino Médio Completo;Não Informada
Fortaleza;AIS 10;HOMICIDIO DOLOSO;11/jul/21;13:28;Domingo;Arma de fogo;Masculino;24;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 09;HOMICIDIO DOLOSO;11/jul/21;15:34;Domingo;Arma de fogo;Masculino;48;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;11/jul/21;15:55;Domingo;Arma de fogo;Masculino;30;Alfabetizado;Não Informada
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;11/jul/21;05:10;Domingo;Arma de fogo;Masculino;22;Alfabetizado;Não Informada
Massapê;AIS 14;HOMICIDIO DOLOSO;11/jul/21;23:30;Domingo;Arma de fogo;Masculino;27;Não Informada;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;11/jul/21;17:20;Domingo;Arma de fogo;Masculino;29;Alfabetizado;Parda
Caucaia;AIS 11;HOMICIDIO DOLOSO;12/jul/21;03:30;Segunda;Arma de fogo;Masculino;19;Alfabetizado;Não Informada
São Benedito;AIS 14;HOMICIDIO DOLOSO;12/jul/21;12:00;Segunda;Arma branca;Masculino;68;Alfabetizado;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;12/jul/21;16:52;Segunda;Arma de fogo;Masculino;32;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;12/jul/21;18:16;Segunda;Arma de fogo;Masculino;37;Ensino Médio Completo;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;12/jul/21;18:30;Segunda;Arma de fogo;Masculino;32;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 04;HOMICIDIO DOLOSO;12/jul/21;19:00;Segunda;Arma de fogo;Masculino;25;Alfabetizado;Parda
Fortaleza;AIS 02;HOMICIDIO DOLOSO;12/jul/21;20:23;Segunda;Arma de fogo;Masculino;21;Ensino Médio Incompleto;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;12/jul/21;21:20;Segunda;Arma de fogo;Masculino;29;Alfabetizado;Não Informada
Guaiúba;AIS 24;LESAO CORPORAL SEGUIDA DE MORTE;12/jul/21;15:30;Segunda;Arma branca;Masculino;62;Ensino Médio Completo;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;13/jul/21;13:45;Terça;Arma de fogo;Masculino;27;Ensino Fundamental Completo;Parda
Pacatuba;AIS 24;HOMICIDIO DOLOSO;13/jul/21;20:00;Terça;Arma de fogo;Masculino;29;Alfabetizado;Parda
Pacatuba;AIS 24;HOMICIDIO DOLOSO;13/jul/21;20:00;Terça;Arma de fogo;Feminino;15;Não Informada;Não Informada
Senador Sá;AIS 14;HOMICIDIO DOLOSO;13/jul/21;21:40;Terça;Arma de fogo;Masculino;43;Alfabetizado;Não Informada
Redenção;AIS 15;HOMICIDIO DOLOSO;13/jul/21;10:00;Terça;Arma de fogo;Masculino;40;Ensino Fundamental Completo;Não Informada
Novo Oriente;AIS 16;HOMICIDIO DOLOSO;13/jul/21;13:00;Terça;Arma branca;Masculino;41;Ensino Fundamental Incompleto;Não Informada
Beberibe;AIS 18;HOMICIDIO DOLOSO;13/jul/21;15:30;Terça;Arma de fogo;Masculino;26;Ensino Médio Completo;Não Informada
Santana do Acaraú;AIS 14;HOMICIDIO DOLOSO;13/jul/21;22:30;Terça;Arma de fogo;Masculino;22;Ensino Fundamental Incompleto;Não Informada
Santana do Acaraú;AIS 14;HOMICIDIO DOLOSO;13/jul/21;22:30;Terça;Arma de fogo;Masculino;23;Ensino Médio Completo;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;14/jul/21;07:21;Quarta;Arma de fogo;Feminino;27;Ensino Fundamental Incompleto;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;14/jul/21;13:00;Quarta;Arma branca;Masculino;14;Alfabetizado;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;14/jul/21;13:30;Quarta;Arma de fogo;Masculino;39;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;14/jul/21;17:32;Quarta;Arma branca;Masculino;67;Não Informada;Não Informada
Pacajus;AIS 25;HOMICIDIO DOLOSO;14/jul/21;00:30;Quarta;Arma de fogo;Feminino;18;Ensino Médio Incompleto;Não Informada
Pacajus;AIS 25;HOMICIDIO DOLOSO;14/jul/21;00:30;Quarta;Arma de fogo;Feminino;18;Ensino Médio Incompleto;Não Informada
Apuiarés;AIS 17;HOMICIDIO DOLOSO;14/jul/21;02:00;Quarta;Arma de fogo;Masculino;30;Alfabetizado;Não Informada
Jijoca de Jericoacoara;AIS 17;HOMICIDIO DOLOSO;14/jul/21;08:15;Quarta;Arma de fogo;Masculino;19;Não Informada;Branca
Limoeiro do Norte;AIS 18;HOMICIDIO DOLOSO;14/jul/21;16:00;Quarta;Arma de fogo;Feminino;21;Ensino Fundamental Completo;Não Informada
Jaguaruana;AIS 18;HOMICIDIO DOLOSO;14/jul/21;19:00;Quarta;Arma de fogo;Masculino;19;Ensino Médio Incompleto;Não Informada
Massapê;AIS 14;HOMICIDIO DOLOSO;14/jul/21;22:00;Quarta;Arma de fogo;Masculino;25;Alfabetizado;Parda
Choró;AIS 20;HOMICIDIO DOLOSO;15/jul/21;00:00;Quinta;Arma de fogo;Masculino;19;Alfabetizado;Não Informada
Cascavel;AIS 13;HOMICIDIO DOLOSO;15/jul/21;05:30;Quinta;Arma branca;Masculino;48;Alfabetizado;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;15/jul/21;08:48;Quinta;Arma de fogo;Masculino;34;Ensino Fundamental Incompleto;Não Informada
Caridade;AIS 15;HOMICIDIO DOLOSO;15/jul/21;17:30;Quinta;Arma de fogo;Feminino;32;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;15/jul/21;16:50;Quinta;Arma de fogo;Masculino;33;Alfabetizado;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;15/jul/21;21:16;Quinta;Arma de fogo;Feminino;29;Alfabetizado;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;15/jul/21;19:30;Quinta;Arma de fogo;Masculino;35;Alfabetizado;Não Informada
Uruburetama;AIS 17;HOMICIDIO DOLOSO;15/jul/21;21:00;Quinta;Arma de fogo;Masculino;19;Ensino Médio Incompleto;Não Informada
Poranga;AIS 16;HOMICIDIO DOLOSO;15/jul/21;16:30;Quinta;Arma de fogo;Masculino;30;Alfabetizado;Não Informada
Santa Quitéria;AIS 16;HOMICIDIO DOLOSO;16/jul/21;02:30;Sexta;Arma de fogo;Masculino;34;Ensino Médio Completo;Parda
Fortaleza;AIS 06;HOMICIDIO DOLOSO;16/jul/21;11:50;Sexta;Arma de fogo;Masculino;70;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;16/jul/21;18:51;Sexta;Arma de fogo;Masculino;32;Não Informada;Parda
Fortaleza;AIS 04;HOMICIDIO DOLOSO;16/jul/21;20:00;Sexta;Arma de fogo;Masculino;22;Alfabetizado;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;16/jul/21;21:00;Sexta;Arma de fogo;Feminino;21;Alfabetizado;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;16/jul/21;21:00;Sexta;Arma de fogo;Feminino;19;Ensino Médio Completo;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;16/jul/21;21:30;Sexta;Arma de fogo;Masculino;21;Alfabetizado;Não Informada
Beberibe;AIS 18;HOMICIDIO DOLOSO;16/jul/21;13:00;Sexta;Arma de fogo;Feminino;57;Alfabetizado;Não Informada
Ocara;AIS 15;HOMICIDIO DOLOSO;17/jul/21;08:30;Sábado;Arma de fogo;Masculino;18;Não Informada;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;17/jul/21;11:20;Sábado;Arma de fogo;Masculino;25;Ensino Fundamental Incompleto;Não Informada
São Gonçalo do Amarante;AIS 23;HOMICIDIO DOLOSO;17/jul/21;12:00;Sábado;Arma branca;Masculino;26;Ensino Fundamental Incompleto;Não Informada
Jaguaruana;AIS 18;HOMICIDIO DOLOSO;17/jul/21;17:00;Sábado;Arma branca;Masculino;38;Ensino Médio Completo;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;17/jul/21;23:20;Sábado;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;17/jul/21;23:00;Sábado;Arma de fogo;Masculino;38;Não Alfabetizado;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;17/jul/21;10:11;Sábado;Arma branca;Masculino;Não Informada;Não Informada;Não Informada
Eusébio;AIS 13;HOMICIDIO DOLOSO;18/jul/21;00:24;Domingo;Arma de fogo;Masculino;38;Não Alfabetizado;Parda
Jijoca de Jericoacoara;AIS 17;HOMICIDIO DOLOSO;18/jul/21;21:30;Domingo;Arma de fogo;Masculino;26;Ensino Médio Completo;Parda
Fortaleza;AIS 09;HOMICIDIO DOLOSO;19/jul/21;11:35;Segunda;Arma de fogo;Masculino;34;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 10;HOMICIDIO DOLOSO;19/jul/21;13:50;Segunda;Arma de fogo;Masculino;40;Ensino Fundamental Incompleto;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;19/jul/21;18:08;Segunda;Arma de fogo;Masculino;53;Alfabetizado;Não Informada
Itaitinga;AIS 25;HOMICIDIO DOLOSO;19/jul/21;07:41;Segunda;Arma de fogo;Masculino;65;Alfabetizado;Não Informada
Itapipoca;AIS 17;HOMICIDIO DOLOSO;19/jul/21;12:30;Segunda;Arma branca;Masculino;56;Não Alfabetizado;Não Informada
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;19/jul/21;19:50;Segunda;Arma de fogo;Masculino;39;Ensino Médio Completo;Parda
Choró;AIS 20;HOMICIDIO DOLOSO;19/jul/21;21:00;Segunda;Arma de fogo;Masculino;20;Alfabetizado;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;20/jul/21;23:49;Terça;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Maranguape;AIS 24;HOMICIDIO DOLOSO;20/jul/21;19:47;Terça;Arma de fogo;Feminino;36;Ensino Fundamental Incompleto;Parda
Sobral;AIS 14;HOMICIDIO DOLOSO;20/jul/21;20:20;Terça;Arma de fogo;Masculino;17;Alfabetizado;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;20/jul/21;21:18;Terça;Arma de fogo;Masculino;20;Alfabetizado;Parda
Ibiapina;AIS 14;HOMICIDIO DOLOSO;20/jul/21;18:35;Terça;Arma de fogo;Masculino;20;Alfabetizado;Não Informada
Palhano;AIS 18;HOMICIDIO DOLOSO;20/jul/21;19:00;Terça;Arma de fogo;Feminino;52;Ensino Fundamental Completo;Não Informada
Iguatu;AIS 21;HOMICIDIO DOLOSO;20/jul/21;23:00;Terça;Arma de fogo;Masculino;22;Ensino Fundamental Completo;Não Informada
Orós;AIS 21;HOMICIDIO DOLOSO;20/jul/21;20:00;Terça;Arma de fogo;Masculino;76;Alfabetizado;Parda
Maranguape;AIS 24;FEMINICÍDIO;20/jul/21;17:30;Terça;Arma branca;Feminino;48;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 02;HOMICIDIO DOLOSO;21/jul/21;19:19;Quarta;Arma de fogo;Masculino;36;Ensino Médio Completo;Parda
Fortaleza;AIS 07;HOMICIDIO DOLOSO;21/jul/21;22:36;Quarta;Arma de fogo;Masculino;59;Ensino Fundamental Incompleto;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;21/jul/21;18:09;Quarta;Arma de fogo;Masculino;48;Alfabetizado;Não Informada
Alto Santo;AIS 18;HOMICIDIO DOLOSO;21/jul/21;20:20;Quarta;Arma de fogo;Masculino;29;Ensino Médio Completo;Parda
Quixeramobim;AIS 20;HOMICIDIO DOLOSO;21/jul/21;20:00;Quarta;Arma de fogo;Masculino;29;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;22/jul/21;11:00;Quinta;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Parda
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;22/jul/21;23:00;Quinta;Arma de fogo;Masculino;21;Alfabetizado;Parda
Sobral;AIS 14;HOMICIDIO DOLOSO;22/jul/21;22:00;Quinta;Arma de fogo;Masculino;27;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 04;HOMICIDIO DOLOSO;23/jul/21;13:40;Sexta;Arma de fogo;Masculino;20;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;23/jul/21;06:40;Sexta;Arma branca;Masculino;Não Informada;Não Informada;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;23/jul/21;19:56;Sexta;Arma de fogo;Masculino;25;Alfabetizado;Parda
Caucaia;AIS 11;HOMICIDIO DOLOSO;23/jul/21;21:50;Sexta;Arma de fogo;Masculino;36;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;23/jul/21;01:25;Sexta;Arma de fogo;Masculino;40;Não Informada;Não Informada
Cascavel;AIS 13;HOMICIDIO DOLOSO;23/jul/21;00:01;Sexta;Arma de fogo;Masculino;55;Não Informada;Não Informada
Canindé;AIS 15;HOMICIDIO DOLOSO;23/jul/21;20:10;Sexta;Arma de fogo;Feminino;45;Não Alfabetizado;Não Informada
Aracoiaba;AIS 15;HOMICIDIO DOLOSO;23/jul/21;02:20;Sexta;Arma de fogo;Masculino;20;Ensino Médio Incompleto;Não Informada
São João do Jaguaribe;AIS 18;HOMICIDIO DOLOSO;23/jul/21;18:00;Sexta;Arma de fogo;Masculino;59;Não Alfabetizado;Parda
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;23/jul/21;07:50;Sexta;Arma de fogo;Masculino;29;Alfabetizado;Não Informada
Monsenhor Tabosa;AIS 16;HOMICIDIO DOLOSO;23/jul/21;20:20;Sexta;Arma de fogo;Masculino;34;Não Informada;Não Informada
Pacajus;AIS 25;HOMICIDIO DOLOSO;23/jul/21;06:43;Sexta;Arma de fogo;Masculino;19;Ensino Médio Incompleto;Não Informada
São Benedito;AIS 14;LESAO CORPORAL SEGUIDA DE MORTE;23/jul/21;19:00;Sexta;Outros meios;Masculino;42;Alfabetizado;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;24/jul/21;02:20;Sábado;Arma de fogo;Masculino;27;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;24/jul/21;22:57;Sábado;Outros meios;Masculino;26;Alfabetizado;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;24/jul/21;04:30;Sábado;Arma de fogo;Masculino;26;Alfabetizado;Não Informada
Guaiúba;AIS 24;HOMICIDIO DOLOSO;24/jul/21;23:00;Sábado;Arma de fogo;Masculino;33;Alfabetizado;Preta
Sobral;AIS 14;HOMICIDIO DOLOSO;24/jul/21;00:30;Sábado;Arma de fogo;Masculino;20;Não Alfabetizado;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;24/jul/21;08:40;Sábado;Arma de fogo;Masculino;48;Alfabetizado;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;24/jul/21;12:30;Sábado;Arma de fogo;Masculino;24;Alfabetizado;Parda
Palmácia;AIS 15;HOMICIDIO DOLOSO;24/jul/21;07:00;Sábado;Arma branca;Masculino;Não Informada;Não Informada;Não Informada
Jaguaretama;AIS 20;HOMICIDIO DOLOSO;24/jul/21;04:40;Sábado;Arma de fogo;Masculino;44;Alfabetizado;Parda
Jucás;AIS 21;HOMICIDIO DOLOSO;24/jul/21;21:47;Sábado;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 04;HOMICIDIO DOLOSO;24/jul/21;16:27;Sábado;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Quixadá;AIS 20;HOMICIDIO DOLOSO;24/jul/21;02:30;Sábado;Arma branca;Masculino;60;Alfabetizado;Não Informada
Barreira;AIS 15;HOMICIDIO DOLOSO;25/jul/21;08:00;Domingo;Outros meios;Masculino;24;Ensino Fundamental Incompleto;Branca
Fortaleza;AIS 05;HOMICIDIO DOLOSO;25/jul/21;03:37;Domingo;Arma de fogo;Masculino;28;Não Informada;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;25/jul/21;15:38;Domingo;Arma de fogo;Masculino;16;Não Informada;Não Informada
Icapuí;AIS 18;HOMICIDIO DOLOSO;25/jul/21;02:30;Domingo;Arma de fogo;Masculino;32;Não Alfabetizado;Parda
Maracanaú;AIS 12;HOMICIDIO DOLOSO;25/jul/21;19:50;Domingo;Arma de fogo;Masculino;25;Alfabetizado;Não Informada
Poranga;AIS 16;HOMICIDIO DOLOSO;25/jul/21;19:50;Domingo;Outros meios;Masculino;32;Não Informada;Não Informada
Nova Olinda;AIS 19;HOMICIDIO DOLOSO;25/jul/21;21:00;Domingo;Outros meios;Masculino;41;Alfabetizado;Preta
Fortaleza;AIS 07;HOMICIDIO DOLOSO;25/jul/21;01:30;Domingo;Arma de fogo;Masculino;19;Não Informada;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;26/jul/21;00:30;Segunda;Arma de fogo;Masculino;18;Ensino Fundamental Incompleto;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;26/jul/21;10:30;Segunda;Arma de fogo;Masculino;42;Ensino Fundamental Incompleto;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;26/jul/21;18:40;Segunda;Arma de fogo;Masculino;40;Ensino Fundamental Incompleto;Parda
Maracanaú;AIS 12;HOMICIDIO DOLOSO;26/jul/21;21:30;Segunda;Arma de fogo;Masculino;22;Ensino Fundamental Completo;Não Informada
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;26/jul/21;13:30;Segunda;Arma de fogo;Masculino;24;Superior Incompleto;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;26/jul/21;04:30;Segunda;Arma de fogo;Masculino;35;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 03;LESAO CORPORAL SEGUIDA DE MORTE;26/jul/21;20:44;Segunda;Outros meios;Masculino;Não Informada;Não Informada;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;27/jul/21;08:47;Terça;Arma branca;Masculino;Não Informada;Não Informada;Parda
